Age,Income,Spending
62,50441,48188
18,69381,4703
21,111508,36738
21,34207,41921
57,101777,32086
27,48670,7949
37,111776,15343
39,117051,35168
54,69905,49464
41,76617,41395
24,101007,27604
42,44937,48490
42,42120,41246
30,57117,10733
19,98134,41829
56,66915,8758
57,84019,15213
41,75486,14393
64,37802,43217
42,84685,1110
35,59442,36436
55,96181,2054
43,34039,10987
31,118910,1128
26,39635,19269
27,52708,11540
38,51863,18644
34,118327,21351
23,73699,28251
33,107158,28581
18,96297,36840
36,104675,14218
53,50381,2010
42,63393,10444
47,89843,34979
37,107690,14333
37,66151,46119
32,95112,49632
57,32555,15993
50,111148,43703
19,83752,12137
27,90533,15479
50,44707,28625
49,62214,40638
28,100841,25081
41,43195,18644
53,103298,43933
29,91401,16766
46,66076,14773
52,64183,36442
18,80973,28823
18,106745,27306
54,37228,2929
23,90027,45982
56,87447,1947
58,76783,29719
35,118193,26348
33,44226,45529
22,107493,15590
59,43596,45406
60,112368,49456
49,107528,23728
19,60281,17876
19,78008,45773
57,54530,46074
59,33467,44205
53,40716,16581
56,52901,17889
29,90241,34130
64,59111,3205
36,98623,43139
45,30131,24185
18,92570,30114
32,89864,4377
53,107525,14640
30,31614,5440
60,65695,37274
38,67708,17015
29,96827,29601
22,113303,25438
24,88202,7076
22,34845,43919
21,51922,14822
30,82222,20381
54,106304,46123
58,98129,43552
32,86492,22583
33,71768,27925
38,56952,5698
53,96666,35895
41,63363,22515
33,100386,41439
31,116935,18310
39,101071,28834
23,71622,35372
59,53616,25891
53,94799,42504
18,87427,41107
49,73827,9829
23,95017,16676
48,74428,46613
18,35130,7429
54,84772,17634
52,71808,10371
47,97267,29391
21,80512,9318
52,117360,39984
60,72113,6195
31,56418,4278
57,110736,29198
39,112283,12531
27,34562,4530
18,38889,9025
28,115398,10906
61,70719,8208
41,39103,43182
20,98935,7430
52,109131,19070
53,44552,10339
48,34409,21043
21,82026,30987
36,73224,5564
64,48701,20396
53,36034,43559
38,103678,5868
35,85060,30361
45,35703,38748
32,60391,43141
59,60955,16165
19,119333,1603
54,82315,33367
28,52572,24763
40,37951,40002
61,113543,45570
58,101627,39834
29,64381,11463
20,71470,21318
34,37581,43769
50,117647,8992
18,111618,16347
56,70580,32523
37,100577,9393
64,114311,13079
60,37209,3096
58,39690,20399
31,69855,24157
48,81473,28203
42,31344,25263
20,46620,36134
21,59334,16304
48,68986,4077
52,47570,41545
61,91096,1055
31,82214,8644
58,117701,31126
26,119890,3086
37,71333,13849
49,74192,3312
26,78428,33378
44,96147,26793
20,53289,39210
21,77975,22693
62,33995,16627
32,76843,4466
50,32352,37884
22,84655,43084
21,48058,39670
63,76404,4704
29,105025,1052
40,53299,42415
31,40525,17029
63,108438,20726
29,51707,10842
34,82701,18134
42,103020,1819
47,69603,8200
39,36388,25983
64,73593,23265
43,44272,5870
34,93472,30761
37,46627,2099
51,65349,3556
58,60302,6830
50,65983,44816
54,65568,46964
24,118330,22411
39,48065,25638
49,110003,35245
31,82199,1442
25,62329,22068
42,47181,44392
33,119283,34793
59,67328,15036
36,41908,18101
58,55700,10818
33,91472,47192
29,74113,32851
56,113575,47229
47,32422,38864
19,80933,19281
49,36437,17410
62,113227,31107
42,76670,33747
42,79083,10965
21,31631,9760
36,115304,9250
21,53325,28665
60,61388,30910
30,84690,16199
56,103914,40132
53,85167,32949
40,99502,25967
23,115969,44290
41,35596,40185
61,119744,7852
50,52075,28055
29,31004,45766
58,117047,18756
38,57532,20961
28,51227,9008
61,98829,21154
55,31064,8963
46,108848,44014
58,87556,34671
20,77708,36509
45,61949,13151
37,109013,14816
43,92013,11266
41,66967,37475
64,60642,49933
38,87924,21913
47,38686,16892
21,102652,20319
53,78825,7584
57,71847,25509
27,99616,30111
27,108980,3688
59,65364,33358
41,40706,17787
21,104462,48559
64,112293,20506
44,53843,37254
62,117984,4621
21,84833,2918
49,49641,37841
27,52578,13933
28,57361,46115
45,72160,9144
63,87329,21925
25,78764,31495
57,48931,1966
39,109780,4275
51,59030,43641
62,51540,22151
52,86606,21570
52,84898,30735
42,86467,34525
51,58070,48398
23,91868,40492
58,46419,11619
54,51262,46607
18,43304,5223
29,103041,12471
52,86131,42446
23,89165,20851
34,107979,1359
26,80209,21811
19,116451,15134
35,33958,31116
53,103784,38970
45,36421,27827
58,50202,20123
54,114509,7306
43,63725,33848
21,72554,34308
57,35912,48497
53,50594,29680
48,74304,46201
47,36592,25812
51,50324,26820
36,93458,27265
35,44971,4422
47,56637,45155
38,91179,33869
20,34354,39587
23,64626,22497
55,73155,30755
30,40740,43170
62,115754,37114
20,101116,7668
45,99278,3945
39,64074,14595
57,33313,11179
57,80112,11173
29,106033,34552
40,49876,33027
48,46138,37614
35,85584,24040
24,105262,23535
25,102988,35619
36,69471,23900
46,44929,46567
61,59092,40332
37,61943,48532
59,72694,37565
47,51129,19166
64,53314,32231
39,96717,20656
27,92133,32343
43,75610,35730
50,32514,20425
45,106573,23596
27,110273,42741
46,81235,33397
61,50368,44945
35,49991,17712
59,103356,24174
18,67219,10566
40,102557,26740
34,36932,42570
60,42369,19307
54,114908,27856
48,97622,8696
42,119034,3309
21,42837,43423
26,63130,49029
45,34648,19101
47,107595,25854
64,109492,19967
41,80951,9443
50,102664,4962
37,76680,10124
26,95775,25299
25,44223,46243
41,57018,45066
31,102851,40878
35,65661,23918
18,101653,34112
29,72898,38905
46,70391,43544
54,42448,49128
43,33436,37298
50,119383,7769
60,76462,28500
32,66980,8172
40,89364,25159
46,109850,35431
38,108772,24050
36,52746,5893
22,107800,23377
40,89600,35032
53,88158,2549
37,102928,38139
25,65422,41364
26,83015,48155
31,50111,26707
23,83420,29670
18,77699,44762
26,100775,5005
33,47975,43510
33,43666,18060
29,41675,49242
22,36445,14444
57,43649,41946
46,33799,34071
63,94923,43880
44,30432,13081
28,89351,13747
64,117429,24340
45,54953,23085
53,83479,17878
59,59409,30968
36,43282,37357
52,80972,8063
48,57892,24471
61,78193,27179
36,48500,41102
63,101420,40920
41,30370,44282
19,69841,7238
24,109222,47879
60,51603,41213
48,70921,38857
34,109809,35122
44,80787,11348
53,89463,26631
60,57137,17979
27,79281,32810
62,67063,38011
31,41929,12423
24,72084,20219
56,49021,36623
57,70556,32293
26,66018,1609
31,31435,13204
25,99728,11484
34,80731,13012
40,99395,12998
33,118418,15823
43,113245,7334
26,103828,7348
53,116352,46968
24,91552,33848
35,84137,3558
25,86235,10350
38,78579,31148
43,77624,22293
20,36720,49084
34,95908,24034
63,91332,43654
41,98704,46644
42,113426,11107
22,59547,5789
54,42629,29065
62,36424,34370
41,71986,6522
48,118573,9824
43,79526,39018
38,43151,20610
51,99697,7382
55,98048,13569
41,85666,31655
45,78661,20163
47,52383,20006
51,104529,20513
40,51634,36109
25,90136,4477
59,50855,1107
27,33983,9696
18,67703,5933
37,69709,38881
54,49169,38913
35,44640,49692
38,96481,42725
21,30848,1073
60,58856,12146
19,37640,40496
38,43189,5570
54,84522,2375
22,82330,41798
34,86593,38630
28,97629,4301
63,82246,36110
58,92689,18584
48,119702,19108
45,91065,28632
61,94261,47022
49,56794,26089
38,47143,15703
24,116416,10407
27,35785,28841
45,68030,18685
53,96413,34582
37,103533,43752
30,58853,12990
36,95617,20620
28,90957,12930
52,42316,19068
51,42772,13628
61,50978,8399
21,99810,6666
30,33670,12118
54,101861,28709
19,106731,20172
18,35947,35377
57,89379,45360
42,109280,49724
54,116648,29720
53,63848,27599
23,50929,31139
24,64664,10515
21,62647,9106
52,94453,34421
58,73151,1504
51,65817,1367
46,106084,42977
22,69200,26353
44,98514,1997
50,52579,31242
63,100848,39726
27,48586,14737
23,56068,47117
51,61098,46062
25,102536,28962
48,97857,22077
26,105716,6123
38,97896,15411
25,40400,21202
21,43553,28915
39,95873,39990
45,47124,22203
62,89742,39170
21,91804,32083
56,66016,7911
38,30739,21560
25,43728,35356
37,68158,38777
49,116589,33336
18,104140,6308
23,34267,1969
45,108945,13387
61,112098,14209
48,90206,17947
27,89500,9527
37,52344,27727
25,48853,3289
39,73010,11677
55,38977,37631
46,50623,38868
26,112627,8531
61,39557,40531
64,59426,18942
18,49549,35140
58,109717,5078
56,78248,40979
43,44998,30702
28,35330,1909
52,54071,29817
41,105953,41360
50,51530,7781
37,92200,9670
44,87988,22956
32,45469,11002
50,92490,42712
24,62444,6250
51,73251,17411
62,115615,4819
63,52099,39451
59,110462,1215
22,34754,12071
47,74153,20614
45,81808,48629
35,106123,44868
53,57428,32662
20,94870,29558
38,94916,8922
63,35612,32918
33,80834,28821
54,59233,29932
59,118687,5746
22,93719,25639
31,41106,46330
48,54391,37324
63,66560,19632
41,105841,5215
52,114056,19746
53,77376,12977
27,36445,48854
44,85679,4469
44,62933,41460
40,112354,13957
30,63996,20022
33,104756,23888
52,51427,1077
44,94552,5796
56,58558,34356
64,74273,47309
34,110266,16469
58,103115,16852
18,66174,27601
28,34966,43865
29,68285,45859
31,116742,40567
25,69965,15774
48,104702,38536
24,53722,22758
63,47611,45752
48,53771,38874
33,37278,7515
59,66535,43098
56,45101,16729
61,80306,46067
36,119753,36087
25,113584,47361
46,49807,19582
19,95720,15289
59,70046,19267
20,74742,29780
46,100610,1859
32,61318,13764
55,62511,15955
45,108587,29775
54,81917,25675
49,36462,39644
47,83203,33681
64,77263,6878
47,34983,46449
51,103628,26396
30,89707,28947
50,92968,31642
59,59011,22904
34,72344,32808
20,119689,11010
26,107807,15471
28,33869,10654
44,94284,48954
45,55652,33698
19,94810,18739
18,66564,40225
23,35393,25250
42,74711,44277
52,64274,18352
33,45920,34000
21,110086,41722
64,37213,20756
55,63914,20682
61,92998,43699
37,58903,14126
42,52014,31926
24,45708,45590
38,47729,16926
24,31365,25242
46,93298,1043
24,109392,42537
20,114402,28598
46,86227,13645
46,56613,15598
56,48583,19553
55,46371,30871
23,32170,4244
63,81282,34283
27,67990,11747
54,112009,22538
31,88094,6414
39,33185,39864
49,38347,45466
35,65081,9333
53,107939,39742
63,97409,32715
26,42683,10047
43,51568,9997
39,65063,45893
63,49961,13013
